step,time_s,x,y,z,vx,vy,vz,ux,uy,uz,u_des_x,u_des_y,u_des_z,safety_h,step_runtime_s,active_constraints
1,0.05,0.312,-0.03,0.05,-0.0050000004,1.8195284e-11,4.6154622e-11,-0.1,3.6390566e-10,9.2309244e-10,-0.1,0.0,0.0,0.0028044122736901045,0.06773515790700912,870
2,0.1,0.31175,-0.03,0.05,-0.009500001,6.526835e-11,1.1737078e-10,-0.089999996,9.414614e-10,1.4243231e-09,-0.089999996,-3.6390568e-11,-9.2309244e-11,0.002782857045531273,0.060038961470127106,867
3,0.15000000000000002,0.311275,-0.03,0.05,-0.01355,2.35315e-10,2.3451238e-10,-0.08099999,3.4009326e-09,2.342832e-09,-0.081,-1.305367e-10,-2.3474156e-10,0.002742249518632889,0.06060772482305765,811
4,0.2,0.3105975,-0.03,0.05,-0.017194998,2.117293e-09,5.716184e-10,-0.07289995,3.7639563e-08,6.742121e-09,-0.072900005,-4.7063e-10,-4.6902476e-10,0.0026851086877286434,0.06266869604587555,737
5,0.25,0.30973777,-0.03,0.05,-0.020371512,8.466025e-05,-1.1853724e-06,-0.063530296,0.0016931626,-2.371888e-05,-0.06561001,-4.234586e-09,-1.1432368e-09,0.002613916527479887,0.06068202294409275,658
6,0.30000000000000004,0.3087192,-0.029995766,0.04999994,-0.022896796,0.00043988085,-5.979364e-06,-0.050505713,0.0071044117,-9.587983e-05,-0.05925698,-0.0001693205,2.3707448e-06,0.0025317699182778597,0.059394968673586845,586
7,0.35000000000000003,0.30757436,-0.029973771,0.049999643,-0.024947189,0.0009573429,-1.2616867e-05,-0.041007865,0.010349241,-0.00013275005,-0.05420641,-0.00090093067,1.2256751e-05,0.0024430889170616865,0.05899580009281635,533
8,0.4,0.30632702,-0.029925905,0.049999014,-0.026651792,0.0015580412,-1.9821257e-05,-0.034092076,0.012013964,-0.00014408778,-0.050105624,-0.0020458254,2.7021873e-05,0.002351077739149332,0.05827793665230274,498
9,0.45,0.30499443,-0.029848004,0.049998023,-0.028106194,0.0021834038,-2.667433e-05,-0.029088046,0.012507251,-0.00013706146,-0.046696417,-0.0034865532,4.4578523e-05,0.0022580449003726244,0.057592250406742096,464
10,0.5,0.30358914,-0.029738834,0.04999669,-0.029381715,0.002789499,-3.2531247e-05,-0.025510428,0.012121903,-0.00011713836,-0.043787617,-0.0051267855,6.3239306e-05,0.0021656418684870005,0.05828412901610136,440
11,0.55,0.30212006,-0.02959936,0.04999506,-0.030352663,0.0032789926,-2.164558e-05,-0.019418973,0.009789869,0.00021771334,-0.041236572,-0.0068848245,8.162141e-05,0.0020750302355736494,0.05787512380629778,423
12,0.6000000000000001,0.30060244,-0.02943541,0.049993977,-0.031139046,0.003784039,-9.673049e-06,-0.01572766,0.010100931,0.0002394506,-0.03929468,-0.008561186,6.798984e-05,0.0019873615819960833,0.0572452237829566,394
13,0.65,0.29904547,-0.029246207,0.049993493,-0.031799376,0.0042729997,3.1451482e-06,-0.013206587,0.009779213,0.00025636394,-0.03772191,-0.010391029,4.9465074e-05,0.0019037133315578103,0.05534185003489256,376
14,0.7000000000000001,0.2974555,-0.029032558,0.04999365,-0.0323762,0.004722987,1.656881e-05,-0.011536508,0.008999743,0.00026847323,-0.03640125,-0.0123149585,2.6250113e-05,0.0018247858388349414,0.05590047314763069,365
15,0.75,0.2958367,-0.028796408,0.049994476,-0.032900523,0.005117657,3.0359437e-05,-0.010486461,0.007893403,0.00027581252,-0.0352476,-0.014283178,-1.3795216e-06,0.001751015312038362,0.05506898183375597,366
16,0.8,0.29419166,-0.028540526,0.049995992,-0.033395,0.005445551,4.428268e-05,-0.009889498,0.0065578767,0.0002784648,-0.03419896,-0.016253268,-3.3095846e-05,0.0016826477367430925,0.05481820274144411,363
17,0.8500000000000001,0.2925219,-0.028268248,0.049998205,-0.033876278,0.0056988127,5.81044e-05,-0.00962555,0.005065234,0.00027643447,-0.033210002,-0.018188471,-6.8523295e-05,0.0016198037192225456,0.05527050979435444,377
18,0.9,0.29082808,-0.027983308,0.05000111,-0.03435671,0.0058721798,7.158918e-05,-0.009608648,0.0034673377,0.00026969553,-0.032247446,-0.020056384,-0.00010723085,0.0015625181840732694,0.056407418102025986,401
19,0.9500000000000001,0.28911024,-0.0276897,0.05000469,-0.034845565,0.0059621804,8.449779e-05,-0.009777115,0.0018000151,0.0002581722,-0.031286586,-0.021827817,-0.00014872904,0.0015107677318155766,0.05487433634698391,388
20,1.0,0.28736797,-0.02739159,0.050008915,-0.03534991,0.005966474,9.657923e-05,-0.010086891,8.586749e-05,0.00024162875,-0.030308869,-0.023475861,-0.00019244628,0.0014644927578046918,0.05597699247300625,385
21,1.05,0.28560048,-0.027093267,0.050013743,-0.03587519,0.0058833114,0.00010756817,-0.010505605,-0.0016632477,0.00021977886,-0.02930018,-0.024974992,-0.00023773155,0.0014236137503758073,0.05625343136489391,390
22,1.1,0.2838067,-0.026799101,0.050019123,-0.036425628,0.005711069,0.00011717952,-0.011008758,-0.0034448546,0.00019222703,-0.028249618,-0.026300285,-0.0002838493,0.0013880402548238635,0.06035059504210949,384
23,1.1500000000000001,0.28198543,-0.026513549,0.050024983,-0.03700443,0.005447873,0.00012509759,-0.011576028,-0.005263919,0.00015836126,-0.027148746,-0.027426628,-0.00032996864,0.0013576800702139735,0.058990515768527985,351
24,1.2000000000000002,0.2801352,-0.026241155,0.050031237,-0.037613876,0.005091268,0.00013096671,-0.012188893,-0.0071320976,0.00011738235,-0.025991138,-0.028327998,-0.00037510414,0.0013324421597644687,0.05804135370999575,341
25,1.25,0.2782545,-0.025986591,0.050037786,-0.038255267,0.00463796,0.00013438644,-0.012827776,-0.009066165,6.839473e-05,-0.02477225,-0.028976757,-0.00041811622,0.0013122401433065534,0.056368183344602585,318
26,1.3,0.27634174,-0.025754694,0.050044507,-0.038928796,0.0040835897,0.00013489951,-0.013470566,-0.011087402,1.0261557e-05,-0.023489468,-0.02934296,-0.00045770098,0.0012969962554052472,0.057551934383809566,332
27,1.35,0.2743953,-0.025550514,0.050051253,-0.039633308,0.0034225946,0.00013198658,-0.014090221,-0.0132198995,-5.8258734e-05,-0.02214241,-0.029393706,-0.00049232924,0.0012829495826736093,0.05674528982490301,340
28,1.4000000000000001,0.2724136,-0.025379384,0.05005785,-0.040365987,0.002648129,0.0001250414,-0.014653564,-0.015489315,-0.00013890342,-0.020733386,-0.029092614,-0.00052023586,0.0012709073489531875,0.05786864273250103,344
29,1.4500000000000002,0.2703953,-0.025246978,0.0500641,-0.041121937,0.0017520397,0.00011339172,-0.01511901,-0.017921783,-0.0002329938,-0.019268028,-0.028399333,-0.000539333,0.0012633291771635413,0.06623307708650827,346
30,1.5,0.26833922,-0.025159376,0.05006977,-0.041893728,0.0007249573,9.626907e-05,-0.015435832,-0.020541646,-0.00034245304,-0.017756127,-0.027269186,-0.0005472888,0.0012601924827322364,0.054443951696157455,344
31,1.55,0.26624453,-0.025123129,0.050074585,-0.042670827,-0.00044351094,7.282752e-05,-0.015541965,-0.023369364,-0.00046883101,-0.016212545,-0.02565303,-0.00054139295,0.001259394222870469,0.055771229788661,344
32,1.6,0.26411098,-0.025145303,0.050078224,-0.043338697,-0.0016285871,0.00010561953,-0.013357368,-0.023701522,0.00065584027,-0.014658347,-0.023497332,-0.0005185752,0.0012595318257808685,0.05766528192907572,309
33,1.6500000000000001,0.26194406,-0.025226733,0.050083507,-0.043848384,-0.0027042862,0.00022210611,-0.01019377,-0.021513982,0.0023297316,-0.013322607,-0.021016305,-0.0006023573,0.001263685175217688,0.054056585766375065,258
34,1.7000000000000002,0.25975165,-0.025361948,0.050094612,-0.044248797,-0.0036618211,0.00038833445,-0.008008252,-0.019150697,0.0033245664,-0.012303233,-0.01845776,-0.00086174277,0.001272435998544097,0.05399524234235287,249
35,1.75,0.2575392,-0.025545038,0.05011403,-0.044578265,-0.0044953567,0.00057538605,-0.0065893875,-0.016670713,0.0037410315,-0.0115024075,-0.015866617,-0.0012497249,0.0012866194592788815,0.052452441304922104,258
36,1.8,0.2553103,-0.025769806,0.0501428,-0.04486637,-0.0052017304,0.00075889344,-0.0057620252,-0.014127471,0.0036701479,-0.010843471,-0.013284093,-0.001720909,0.001307243132032454,0.05362181644886732,258
37,1.85,0.253067,-0.026029892,0.050180744,-0.045135155,-0.005780245,0.0009189176,-0.005375749,-0.011570299,0.0032004833,-0.010267265,-0.010747507,-0.002231776,0.0013265815796330571,0.05505219008773565,226
38,1.9000000000000001,0.25081024,-0.026318904,0.050226692,-0.04540042,-0.0062324335,0.0010396336,-0.005305237,-0.009043768,0.0024143215,-0.009729691,-0.008290045,-0.0027415534,0.0013320950092747808,0.054406906478106976,218
39,1.9500000000000002,0.24854021,-0.026630526,0.050278675,-0.045672964,-0.0065617757,0.0011087656,-0.0054509384,-0.006586841,0.0013826388,-0.009199165,-0.00594061,-0.0032127239,0.0013401760952547193,0.05348294787108898,216
