attribute,count,mean,std,min,q25,median,q75,max
mean_x,281756,-0.037919399889198305,0.5570136374627505,-4.168400287628174,-0.40052126348018646,0.02434493973851204,0.28623227775096893,1.5957990884780884
mean_y,281756,-0.02125656180892895,0.44929929038487443,-2.4798998832702637,-0.36176005005836487,-0.0472972858697176,0.2150258533656597,1.5975029468536377
mean_z,281756,0.036682123570816676,0.22352093004389148,-1.7195762395858765,-0.09519610553979874,-0.007091860985383391,0.1889219582080841,6.145532131195068
scale_x,281756,0.0037200031197679104,0.009050457945144561,1.6351135556647023e-08,0.00042278991895727813,0.0013395467540249228,0.004129923530854285,0.48133766651153564
scale_y,281756,0.003828652500268428,0.010253128595943697,8.511577220815525e-09,0.00041384850919712335,0.0012800923432223499,0.004054032149724662,0.4889912009239197
scale_z,281756,0.0038043753084621456,0.00933091123756363,5.147351433976155e-09,0.0004215750523144379,0.0012943135807290673,0.004095222684554756,0.4397207498550415
max_scale,281756,0.007733809441582723,0.013811034041579899,1.3389767445914913e-05,0.0024159099557437003,0.004707028856500983,0.008499108953401446,0.4889912009239197
min_scale,281756,0.0009365287196682637,0.0032939731217357993,5.147351433976155e-09,0.00011897978220076766,0.00033055969106499106,0.0008091234922176227,0.28526708483695984
mean_scale,281756,0.0037843436428328277,0.00742674063244724,6.202656967010019e-06,0.0011872513059264143,0.002204232960745382,0.0039435530682870494,0.3740180830160777
anisotropy,281756,199.0132077051816,10595.577025596262,1.0071551310702893,5.4774415369052525,12.31555415255203,34.63531811409026,2926313.919468406
volume_proxy,281756,3.6364186117754967e-06,0.00020885732855663647,5.797521561855568e-17,1.751051037013709e-10,1.5012454105005264e-09,1.142596607919969e-08,0.046007406535603916
distance_to_scene_center,281756,0.641678794625952,0.38774215060386175,0.13624117492491786,0.36729218760719334,0.5328496917605217,0.862478802375033,6.948965567188242
opacity,281756,0.8352946649332376,0.24660742607708594,0.06762036681175232,0.7234511971473694,0.9882344007492065,0.9994105398654938,1.0
color_or_sh_norm,281756,0.7697232552533668,0.5795344228080355,0.0009190181153826416,0.3990243226289749,0.6555056273937225,0.9869013428688049,5.697760581970215
rotation_q0,281756,0.003887821521992025,0.5814371541027535,-3.316930055618286,-0.43655379861593246,0.006257314700633287,0.45118052512407303,3.5009281635284424
rotation_q1,281756,0.011928602118944663,0.5841599590087606,-3.5501210689544678,-0.43137362599372864,0.006275705760344863,0.4580746218562126,2.99287486076355
rotation_q2,281756,0.014141418824004276,0.5833072492318633,-2.9017438888549805,-0.42685528099536896,0.007859603501856327,0.45640888065099716,3.2128121852874756
rotation_q3,281756,0.0007755395995852055,0.583675971263064,-3.079106569290161,-0.4414663687348366,0.0011167365591973066,0.4388245716691017,3.2582454681396484
