metric,value,note
trial_rows,100,
per_step_rows,14988,
active_constraint_rows,749400,
methods,safer_splat_filter,
trial_min,0,
trial_max,99,
unique_trials,100,
active_gaussian_ids_available,yes,
control_deviation_mean,0.05428364145976845,
control_deviation_p95,0.10920556113123892,
control_deviation_max,0.1272549033164978,
active_constraints_count_mean,477.1283693621564,
active_constraints_count_p95,913.6499999999996,
active_constraints_count_max,1524,
runtime_step_mean_s,0.0608856976091909,
runtime_step_p95_s,0.07201514476910227,
runtime_step_max_s,0.2915888298302889,
min_safety_h_step_min,0.0003172545402776,
min_safety_h_step_mean,0.0022751637146298364,
goal_progress_delta_mean,0.0016987105376955777,
goal_progress_delta_p05,0.0005806773900985718,
goal_progress_delta_min,-0.0015969498199411001,
corr_control_deviation_vs_goal_progress_delta,-0.5748204172791247,
corr_control_deviation_vs_min_safety_h_step,-0.34471966598880743,
corr_active_constraints_count_vs_runtime_step,0.4084494834512958,
corr_active_constraints_count_vs_control_deviation,-0.09493917592169067,
high_intervention_threshold_p95,0.10920556113123892,
high_intervention_rows,750,
high_intervention_goal_progress_delta_mean,0.0007896448572476705,
high_intervention_min_safety_h_step_mean,0.0010676928239020356,
high_intervention_active_constraints_count_mean,519.2866666666666,
