scene,method,trial,checkpoint,gaussian_count,success,collision,collision_free,stop_reason,min_safety_h,min_safety_h_note,goal_distance_reduction_ratio,initial_goal_distance,final_goal_distance,closest_goal_distance,closest_goal_step,num_steps,runtime_mean,runtime_p95,intervention_rate,control_deviation_mean,control_deviation_max,active_constraints_mean,active_constraints_p95,qp_infeasible_count,seconds_total,error,success_definition
stonehenge,risk_aware_topk_v0,0,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008511253399774432,official GSplatLoader.query_distance safety h value; not meters,0.8150653908719986,0.784,0.14498873355635317,0.14498873355635317,325,325,0.06192717648469485,0.0715320885181427,0.9046153846153846,0.025066754654983023,0.07492420077323914,149.96,150.0,0,25.889388101175427,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,1,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008074630750343204,official GSplatLoader.query_distance safety h value; not meters,0.19688718259990282,0.7840896733951637,0.6297124666947119,0.6297124666947119,114,114,0.05726724905533749,0.06500104507431388,0.9824561403508771,0.06709210051887486,0.106062151491642,152.82456140350877,152.44999999999996,0,8.536730071529746,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,2,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.001313697313889861,official GSplatLoader.query_distance safety h value; not meters,0.19347978720298675,0.7842325773112758,0.6324994251354403,0.6324994251354403,104,104,0.05822595669171558,0.06618435103446245,0.9903846153846154,0.0654580372860297,0.08727268874645233,167.96153846153845,292.8999999999998,0,7.885913772508502,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,3,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.000801107962615788,official GSplatLoader.query_distance safety h value; not meters,0.2279751580060767,0.7842277798056816,0.6054433277917266,0.6054433277917266,123,123,0.05960988124635646,0.07007230557501316,0.991869918699187,0.06581032951173138,0.08788836002349854,185.1951219512195,423.69999999999965,0,9.50974659062922,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,4,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.000838584266602993,official GSplatLoader.query_distance safety h value; not meters,0.819310202131591,0.784082025527739,0.14167562270485987,0.14167562270485987,357,357,0.05967282340014014,0.06709681861102582,0.9523809523809523,0.03923602055875903,0.07863859087228775,160.1484593837535,150.0,0,27.590017527341843,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,5,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0007147197611629963,official GSplatLoader.query_distance safety h value; not meters,0.2914672412966293,0.7840002568014284,0.5554898647756671,0.5554898647756671,170,170,0.06061334889382124,0.06564780808985234,0.9588235294117647,0.06462923425693547,0.0978933721780777,156.98823529411766,157.39999999999986,0,13.30734665878117,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,6,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0005385844269767404,official GSplatLoader.query_distance safety h value; not meters,0.5703916685582721,0.7840974736682284,0.3368548073502818,0.3368548073502818,243,243,0.06021584406372451,0.06674604676663876,0.9218106995884774,0.05751900382034372,0.1121610552072525,150.2880658436214,150.0,0,18.920725025236607,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,7,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008742116624489427,official GSplatLoader.query_distance safety h value; not meters,0.5912355117793108,0.7842369518727405,0.320568216276014,0.320568216276014,225,225,0.05944599039024777,0.06612447388470173,0.8933333333333333,0.04755968108428493,0.0873894989490509,151.09333333333333,150.0,0,17.34213387966156,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,8,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0006320527754724026,official GSplatLoader.query_distance safety h value; not meters,0.8225472254766919,0.7842225786662452,0.13916247242814853,0.13916247242814853,331,331,0.0591798120113568,0.06760137062519789,0.9274924471299094,0.04766109358587011,0.08338259905576706,150.5287009063444,150.0,0,25.479276845231652,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,9,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0011710417456924915,official GSplatLoader.query_distance safety h value; not meters,0.7953132236794582,0.7840745608661205,0.16048969425863063,0.16048969425863063,303,303,0.06020402700544977,0.07016603536903857,0.9075907590759076,0.046773088591929746,0.09014105051755905,150.2013201320132,150.0,0,23.590118596330285,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,10,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0005337559850886464,official GSplatLoader.query_distance safety h value; not meters,0.6659031459153416,0.7840010261711613,0.261932276442929,0.261932276442929,262,262,0.060824653873120554,0.06830567000433803,0.9770992366412213,0.06849226387696705,0.11664404720067978,156.65648854961833,150.0,0,20.53877344727516,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_topk_v0,11,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.00046901879250071943,official GSplatLoader.query_distance safety h value; not meters,0.8293976092040773,0.7841053949339123,0.13377025501170664,0.13377025501170664,347,347,0.05972343683242798,0.06737297885119915,0.9942363112391931,0.07441933611609576,0.11688202619552612,158.94524495677234,166.39999999999998,0,26.75305861607194,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
