scene,method,trial,checkpoint,gaussian_count,success,collision,collision_free,stop_reason,min_safety_h,min_safety_h_note,goal_distance_reduction_ratio,initial_goal_distance,final_goal_distance,closest_goal_distance,closest_goal_step,num_steps,runtime_mean,runtime_p95,intervention_rate,control_deviation_mean,control_deviation_max,active_constraints_mean,active_constraints_p95,qp_infeasible_count,seconds_total,error,success_definition
stonehenge,risk_aware_v1_pre_cbf,0,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008511256892234087,official GSplatLoader.query_distance safety h value; not meters,0.8150653909392018,0.784,0.14498873350366584,0.14498873350366584,325,325,0.036318946211383894,0.04250408485531807,0.9046153846153846,0.025066749248798842,0.07492418587207794,201.71076923076924,383.8,0,17.402798783034086,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,1,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008069268660619855,official GSplatLoader.query_distance safety h value; not meters,0.19687967863455672,0.7840896733951637,0.6297183504764493,0.6297183504764493,114,114,0.03629500698298216,0.041844237688928844,0.9824561403508771,0.06708248869652285,0.10606218129396439,281.3157894736842,451.7,0,6.095715282484889,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,2,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0013136934721842408,official GSplatLoader.query_distance safety h value; not meters,0.19347976790856924,0.7842325773112758,0.6324994402667511,0.6324994402667511,104,104,0.03558293067348691,0.03829846223816275,0.9903846153846154,0.06545804437089252,0.08727267384529114,295.8557692307692,540.0999999999997,0,5.459899950772524,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,3,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008008611621335149,official GSplatLoader.query_distance safety h value; not meters,0.22796676456522744,0.7842277798056816,0.6054499101612087,0.6054499101612087,123,123,0.03689977608439399,0.041357249952852726,0.991869918699187,0.06581281387648906,0.0878601223230362,352.9268292682927,661.7999999999995,0,6.672940526157618,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,4,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008385727414861321,official GSplatLoader.query_distance safety h value; not meters,0.8194788930581641,0.784082025527739,0.14154335518146424,0.14154335518146424,357,357,0.03700296367395993,0.040047882869839665,0.9467787114845938,0.039229287650985614,0.07863815873861313,247.63025210084032,536.5999999999999,0,19.404106417670846,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,5,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0007147323340177536,official GSplatLoader.query_distance safety h value; not meters,0.29146825317619324,0.7840002568014284,0.5554890714618291,0.5554890714618291,170,170,0.03696593279566835,0.03876431006938219,0.9588235294117647,0.06462928453012327,0.09789284318685532,389.9,591.0999999999999,0,9.219153843820095,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,6,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0005385847762227058,official GSplatLoader.query_distance safety h value; not meters,0.5703917635403936,0.7840974736682284,0.33685473287504025,0.33685473287504025,243,243,0.036917330114623156,0.03897212818264961,0.9218106995884774,0.05751893825382911,0.11216102540493011,250.5185185185185,364.2999999999996,0,13.19399763084948,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,7,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0008742101490497589,official GSplatLoader.query_distance safety h value; not meters,0.5912355581337282,0.7842369518727405,0.320568179923167,0.320568179923167,225,225,0.036772926764355764,0.03915796130895614,0.8933333333333333,0.04755968297993506,0.08738944679498672,247.60888888888888,395.4,0,12.154168978333473,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,8,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0006320525426417589,official GSplatLoader.query_distance safety h value; not meters,0.8225472623215409,0.7842225786662452,0.13916244353358598,0.13916244353358598,331,331,0.037302438591767295,0.03990284167230129,0.9274924471299094,0.04766107319208315,0.08338266611099243,231.74320241691842,375.5,0,18.087016489356756,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,9,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0011710315011441708,official GSplatLoader.query_distance safety h value; not meters,0.7953273481458832,0.7840745608661205,0.16047861962382096,0.16047861962382096,303,303,0.036268317844509686,0.03908444195985794,0.9075907590759076,0.04677215902611865,0.09014103561639786,251.93729372937293,413.79999999999995,0,16.063750196248293,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,risk_aware_v1_pre_cbf,10,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,False,True,stopped_before_goal,0.0005090688355267048,official GSplatLoader.query_distance safety h value; not meters,0.6669698151132548,0.7840010261711613,0.26109600669717986,0.26109600669717986,264,264,0.036712043368342245,0.04164114529266953,0.9772727272727273,0.06885047657853664,0.1173030436038971,275.4583333333333,424.8999999999999,0,14.240781949833035,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
