scene,method,trial,checkpoint,gaussian_count,success,collision,collision_free,stop_reason,min_safety_h,min_safety_h_note,goal_distance_reduction_ratio,initial_goal_distance,final_goal_distance,closest_goal_distance,closest_goal_step,num_steps,runtime_mean,runtime_p95,intervention_rate,control_deviation_mean,control_deviation_max,active_constraints_mean,active_constraints_p95,qp_infeasible_count,seconds_total,error,success_definition
flight,no_filter,0,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,True,False,stopped_before_goal,-0.0009112062980420887,official GSplatLoader.query_distance safety h value; not meters,0.9874089092289636,0.545,0.006862144470214843,0.0002746614813808996,229,247,2.4475149719821297e-05,3.4603849053382865e-05,0.0,0.0,0.0,0.0,0.0,0,4.664705814793706,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,no_filter,1,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,True,False,stopped_before_goal,-0.0009000907302834094,official GSplatLoader.query_distance safety h value; not meters,0.9879787165909663,0.5496245748669145,0.0066071927830449,0.0007369602015750728,228,247,2.4687596841862326e-05,3.960579633712763e-05,0.0,0.0,0.0,0.0,0.0,0,4.502508670091629,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,no_filter,2,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,True,False,stopped_before_goal,-0.0008999554556794465,official GSplatLoader.query_distance safety h value; not meters,0.9874384897509318,0.5569160362085966,0.006995706496704713,0.00016923298918107509,227,245,2.3874807722714484e-05,3.970153629779813e-05,0.0,0.0,0.0,0.0,0.0,0,4.488469321280718,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,no_filter,3,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,True,False,stopped_before_goal,-0.0008999749552458525,official GSplatLoader.query_distance safety h value; not meters,0.9876140139903637,0.5566727784633879,0.006894941245992905,0.00016587491685826858,225,243,2.4080974023037976e-05,4.010926932096468e-05,0.0,0.0,0.0,0.0,0.0,0,4.514626024290919,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,no_filter,4,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,True,False,stopped_before_goal,-0.0009000011486932635,official GSplatLoader.query_distance safety h value; not meters,0.9874932780943372,0.5492316626019831,0.006869087665947803,0.0002517406366703381,222,240,2.3077428340911866e-05,3.953836858272551e-05,0.0,0.0,0.0,0.0,0.0,0,4.267602941021323,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,no_filter,5,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,True,False,stopped_before_goal,-0.0009015118703246117,official GSplatLoader.query_distance safety h value; not meters,0.9872942315104428,0.545013298855544,0.00692481279898836,7.1212431869907e-05,218,236,2.331858090424942e-05,4.021637141704559e-05,0.0,0.0,0.0,0.0,0.0,0,4.119181089103222,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,no_filter,6,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,True,False,stopped_before_goal,-0.0008999900310300291,official GSplatLoader.query_distance safety h value; not meters,0.9871448297382387,0.5500250318524896,0.007070665432694382,0.0004181053604976511,213,231,2.2929935873328866e-05,3.920309245586395e-05,0.0,0.0,0.0,0.0,0.0,0,4.058073911815882,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,no_filter,7,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,True,False,stopped_before_goal,-0.0007862866623327136,official GSplatLoader.query_distance safety h value; not meters,0.9878521379620678,0.5571377572695031,0.006768032611432933,0.0005597167243808494,208,226,2.4103196914744587e-05,3.678584471344948e-05,0.0,0.0,0.0,0.0,0.0,0,4.123647669330239,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,no_filter,8,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,True,False,stopped_before_goal,-0.0008975728414952755,official GSplatLoader.query_distance safety h value; not meters,0.9881870867148935,0.5564089359793438,0.006572810511782427,0.000656191949531602,201,220,2.386232160709121e-05,3.3567193895578344e-05,0.0,0.0,0.0,0.0,0.0,0,4.051804400980473,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,no_filter,9,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,True,False,stopped_before_goal,-0.0009002518490888178,official GSplatLoader.query_distance safety h value; not meters,0.9881341395182189,0.5488478950550748,0.006512552548442708,0.000624474956931171,194,213,2.3814539114634197e-05,3.7821009755134535e-05,0.0,0.0,0.0,0.0,0.0,0,3.7646233085542917,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
flight,no_filter,10,outputs/flight/splatfacto/2024-09-12_172434/config.yml,281756,False,True,False,stopped_before_goal,-0.0009074838017113507,official GSplatLoader.query_distance safety h value; not meters,0.9878657053950557,0.5450531399300607,0.0066138353752612945,0.002149128432513653,186,205,2.355718212883647e-05,3.234297037124634e-05,0.0,0.0,0.0,0.0,0.0,0,3.6374366115778685,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
