scene,trial,step,candidate_budget,candidate_count_total,candidate_count_forced_near,candidate_count_forced_heading,candidate_count_risk_ranked,candidate_count_final,fallback_used,v1_insertion_level,near_distance_threshold,heading_distance_threshold,heading_cos_threshold,risk_score_name,fallback_reason,min_safety_h_step,runtime_step,control_deviation,active_constraints_count
flight,0,1,2000,281756,0,25399,0,25399,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.013899390585720539,0.06711335107684135,5.3305689723393e-11,189
flight,0,2,2000,281756,0,25399,0,25399,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.01389386784285307,0.06503325700759888,6.92177634653568e-11,189
flight,0,3,2000,281756,0,25476,0,25476,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.013883593492209911,0.06557663530111313,9.018488039691519e-11,189
flight,0,4,2000,281756,0,25629,0,25629,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.013869432732462883,0.06581442803144455,1.1292759782843831e-10,187
flight,0,5,2000,281756,0,25819,0,25819,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.013852288946509361,0.06792808324098587,1.4398604530896364e-10,185
flight,0,6,2000,281756,0,26101,0,26101,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.013833049684762955,0.06473388709127903,1.6132145619351945e-10,189
flight,0,7,2000,281756,0,26392,0,26392,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.013812579214572906,0.06385070458054543,2.1246593373547285e-10,189
flight,0,8,2000,281756,0,26766,0,26766,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.013791684061288834,0.0645522978156805,2.7162230797905806e-10,196
flight,0,9,2000,281756,0,27228,0,27228,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.013771094381809235,0.06670514307916164,3.4386712921552487e-10,196
flight,0,10,2000,281756,0,27761,0,27761,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.013751471415162086,0.06661356799304485,3.7150646448047553e-10,200
flight,0,11,2000,281756,0,28482,0,28482,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.01373339630663395,0.06773166917264462,3.752355759445436e-09,197
flight,0,12,2000,281756,0,29150,0,29150,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.013717371970415115,0.06752302683889866,3.760732170121628e-09,203
flight,0,13,2000,281756,0,29861,0,29861,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.013703840784728527,0.0659086424857378,3.781718493911512e-09,205
flight,0,14,2000,281756,0,30689,0,30689,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.013693166896700859,0.06720072031021118,3.808933168869544e-09,207
flight,0,15,2000,281756,0,31323,0,31323,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.013685667887330055,0.06810726784169674,3.84783449547399e-09,213
flight,0,16,2000,281756,0,31864,0,31864,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.013681607320904732,0.06873526237905025,5.713691741959792e-09,217
flight,0,17,2000,281756,0,32244,0,32244,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.013681206852197647,0.0669940672814846,7.592973361170152e-09,224
flight,0,18,2000,281756,0,32605,0,32605,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.013630663976073265,0.06817181035876274,9.479739659923325e-09,226
flight,0,19,2000,281756,0,32899,0,32899,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.01357134710997343,0.06701048649847507,1.32967850063892e-08,227
flight,0,20,2000,281756,0,33180,0,33180,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.01351994276046753,0.06795450672507286,1.710999164572513e-08,226
flight,0,21,2000,281756,0,33465,0,33465,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.013477010652422905,0.06732961349189281,2.5652086677041552e-08,233
flight,0,22,2000,281756,0,33690,0,33690,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.01344304159283638,0.06905046291649342,4.2816186152094815e-08,247
flight,0,23,2000,281756,0,33898,0,33898,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.01341848075389862,0.07051457650959492,7.140011604178653e-08,244
flight,0,24,2000,281756,0,34200,0,34200,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.013342684134840965,0.07119755819439888,9.753365892706256e-10,243
flight,0,25,2000,281756,0,34626,0,34626,False,partial_pre_cbf,0.08,0.25,0.5,risk_v2_hybrid,,0.012812025845050812,0.0711068008095026,2.866024972902892e-09,247
