scene,method,trial,checkpoint,gaussian_count,success,collision,collision_free,stop_reason,min_safety_h,min_safety_h_note,goal_distance_reduction_ratio,initial_goal_distance,final_goal_distance,closest_goal_distance,closest_goal_step,num_steps,runtime_mean,runtime_p95,intervention_rate,control_deviation_mean,control_deviation_max,active_constraints_mean,active_constraints_p95,qp_infeasible_count,seconds_total,error,success_definition
stonehenge,no_filter,0,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.00022564719256479293,official GSplatLoader.query_distance safety h value; not meters,0.9915435873732275,0.784,0.006629827499389693,0.0008072526454932067,324,343,2.0457257899529038e-05,2.9695965349674224e-05,0.0,0.0,0.0,0.0,0.0,0,5.874949533492327,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,no_filter,1,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.00022498128237202764,official GSplatLoader.query_distance safety h value; not meters,0.991271426034736,0.7840896733951637,0.0068439847096294125,0.00032600818752376537,324,342,1.96763842600828e-05,2.9773823916912077e-05,0.0,0.0,0.0,0.0,0.0,0,5.7201829589903355,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,no_filter,2,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.00022701872512698174,official GSplatLoader.query_distance safety h value; not meters,0.9911965135397209,0.7842325773112758,0.006903980876069586,0.00013563504421269473,322,340,1.945110476192306e-05,2.1469406783580782e-05,0.0,0.0,0.0,0.0,0.0,0,5.81704718247056,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,no_filter,3,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.00022071685816626996,official GSplatLoader.query_distance safety h value; not meters,0.9912995259964675,0.7842277798056816,0.006823153411047338,0.0003847789243776896,319,337,1.92892602271779e-05,2.162307500839233e-05,0.0,0.0,0.0,0.0,0.0,0,5.7592055425047874,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,no_filter,4,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.0002250014804303646,official GSplatLoader.query_distance safety h value; not meters,0.9915824605832264,0.784082025527739,0.006600041355863476,0.0007148197182130586,314,333,1.947241681474107e-05,2.143457531929016e-05,0.0,0.0,0.0,0.0,0.0,0,5.666254010051489,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,no_filter,5,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.00022596996859647334,official GSplatLoader.query_distance safety h value; not meters,0.9912899499419274,0.7840002568014284,0.006828681482282185,0.00036929905452758667,309,327,1.9533217910232896e-05,2.918671816587448e-05,0.0,0.0,0.0,0.0,0.0,0,5.561540901660919,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,no_filter,6,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.00022611627355217934,official GSplatLoader.query_distance safety h value; not meters,0.9911540351550002,0.7840974736682284,0.006936098687122265,2.9136934686965667e-05,302,320,1.9423820776864887e-05,2.2527202963829116e-05,0.0,0.0,0.0,0.0,0.0,0,5.413164516910911,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,no_filter,7,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.00022833772527519614,official GSplatLoader.query_distance safety h value; not meters,0.99114069692048,0.7842369518727405,0.006947792842799585,1.0244700299589289e-05,294,312,1.9176946714138372e-05,2.0721368491649626e-05,0.0,0.0,0.0,0.0,0.0,0,5.252763040363789,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,no_filter,8,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.00022489078401122242,official GSplatLoader.query_distance safety h value; not meters,0.9912225442416723,0.7842225786662452,0.006883478988924632,0.00020432999539905667,285,303,1.9585068273072196e-05,2.3271888494491564e-05,0.0,0.0,0.0,0.0,0.0,0,5.110805531963706,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,no_filter,9,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.00022507322137244046,official GSplatLoader.query_distance safety h value; not meters,0.9913831686386113,0.7840745608661205,0.006756238265738274,0.0005842524359807899,275,293,1.943958827863374e-05,2.3030862212181034e-05,0.0,0.0,0.0,0.0,0.0,0,4.962163411080837,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,no_filter,10,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.0002297748433193192,official GSplatLoader.query_distance safety h value; not meters,0.9915910263839133,0.7840010261711613,0.006592643944058217,0.0008453444692781732,263,282,1.9195951944124614e-05,2.0909029990434648e-05,0.0,0.0,0.0,0.0,0.0,0,4.742729721590877,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,no_filter,11,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.00022464003995992243,official GSplatLoader.query_distance safety h value; not meters,0.9910713871370977,0.7841053949339123,0.007000973515078005,0.0022415540604590763,251,269,1.9631345088153967e-05,2.6181340217590322e-05,0.0,0.0,0.0,0.0,0.0,0,4.529138399288058,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,no_filter,12,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.00022818839352112263,official GSplatLoader.query_distance safety h value; not meters,0.9966617104898268,0.7842408858824762,0.0026180231227904394,0.002335212486516115,267,272,1.9199954455389697e-05,2.069631591439247e-05,0.0,0.0,0.0,0.0,0.0,0,4.589656701311469,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,no_filter,13,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.00022497869213111699,official GSplatLoader.query_distance safety h value; not meters,0.9933943854579765,0.7842169948283072,0.005180235185139725,0.005180235185139725,263,263,1.987683172461651e-05,2.8141029179096202e-05,0.0,0.0,0.0,0.0,0.0,0,4.458423092961311,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
stonehenge,no_filter,14,outputs/stonehenge/splatfacto/2024-09-11_100724/config.yml,116446,False,True,False,stopped_before_goal,-0.00023171832435764372,official GSplatLoader.query_distance safety h value; not meters,0.991677438467537,0.7840673094735207,0.006525448428686034,0.0021277844996033086,254,273,1.9541603850794364e-05,2.2386759519577025e-05,0.0,0.0,0.0,0.0,0.0,0,4.64078938215971,,strict stopped-motion goal condition from run.py; stopped_before_goal remains success=False
