run_label,scene,method_label,method,rows,collision_count,collision_free_count,min_safety_h_min,min_safety_h_mean,progress_mean,intervention_rate_mean,control_deviation_mean,active_constraints_mean,runtime_mean,runtime_p95,qp_infeasible_count,fallback_used_rate,candidate_count_final_mean,candidate_count_final_p95,actual_insertion_level,source_dir
flight_smoke3_default,flight,flight_smoke3_safer_splat_filter_default_run,safer_splat_filter,3,0,3,0.0006012368248775,0.0008760021689037,0.2731245623757923,0.7494026284348866,0.0404975209319267,180.72590148799827,0.1175054605145483,0.1284092401775221,0,,,,,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/risk_aware_v1_pre_cbf_flight_smoke3_default
flight_smoke3_default,flight,flight_smoke3_risk_aware_v1_default,risk_aware_v1_pre_cbf,3,0,3,0.0006012364756315,0.0008502791558081,0.2740711179402803,0.6846932821640784,0.0389876823298045,155.8393518447639,0.0609561648436191,0.0657454588450491,0,0.0,21844.140794223826,32955.2,partial_pre_cbf,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/risk_aware_v1_pre_cbf_flight_smoke3_default
flight_smoke3_bestD,flight,flight_smoke3_safer_splat_filter_bestD_run,safer_splat_filter,3,0,3,0.0006012368248775,0.0008760021689037,0.2731245623757923,0.7494026284348866,0.0404975209319267,180.72590148799827,0.1199043131332475,0.1318977667329212,0,,,,,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/risk_aware_v1_pre_cbf_flight_smoke3_bestD
flight_smoke3_bestD,flight,flight_smoke3_risk_aware_v1_bestD,risk_aware_v1_pre_cbf,3,0,3,0.0006012296071276,0.0008493865995357,0.2741485934011842,0.6829604960263675,0.0385124748138195,152.11259084278873,0.0626031093423655,0.068902682668219,0,0.0,21435.003623188404,32969.25,partial_pre_cbf,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/risk_aware_v1_pre_cbf_flight_smoke3_bestD
flight_20,flight,flight_no_filter,no_filter,20,20,0,-0.000911206298042,-0.0008959375962149,0.9883772841979942,0.0,0.0,0.0,2.4078012426786222e-05,3.914110828191041e-05,0,,,,,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/risk_aware_v1_pre_cbf_flight_20_default
flight_20,flight,flight_safer_splat_filter,safer_splat_filter,20,0,20,0.0003255571937188,0.0008109039161354,0.211364060994933,0.9152241247504416,0.0852725964792903,242.0554452233701,0.1201600652180535,0.133418978517875,0,,,,,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/risk_aware_v1_pre_cbf_flight_20_default
flight_20,flight,flight_risk_aware_v1_default,risk_aware_v1_pre_cbf,20,0,20,0.0003255566116422,0.0008068048569839,0.2115071512714543,0.9055177228098202,0.085036130827084,217.8666192331767,0.0653961736371705,0.0757643032539635,0,0.0,23758.496013667427,28995.5,partial_pre_cbf,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/risk_aware_v1_pre_cbf_flight_20_default
flight_20,flight,flight_risk_aware_v1_bestD,risk_aware_v1_pre_cbf,20,0,20,0.0003277366049587,0.0008067909337114,0.2115361979651897,0.9052578048891636,0.0849632090472102,199.09311630063056,0.0629511506757006,0.0662880080705508,0,0.0,23346.94074074074,28691.899999999998,partial_pre_cbf,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/risk_aware_v1_pre_cbf_flight_20_bestD
stonehenge_100,stonehenge,stonehenge_risk_aware_v1_default,risk_aware_v1_pre_cbf,100,0,100,0.000317253958201,0.0008605107385665,0.3246946943934709,0.920329445759618,0.0690530773057682,385.5619684292822,0.0398735679220789,0.0429318235572427,0,0.0,10809.802230086132,20437.199999999997,partial_pre_cbf,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/risk_aware_v1_pre_cbf_stonehenge_100
stonehenge_100,stonehenge,stonehenge_risk_aware_v1_bestD,risk_aware_v1_pre_cbf,100,0,100,0.0003172536671627,0.0008606749901082,0.324674583250177,0.9183233525159008,0.0690384058784032,252.22198929007453,0.0404428432572317,0.0445480839740485,0,0.0,9905.290046760187,18842.1,partial_pre_cbf,/disk1/zlab/projects/safer-splat/work/risk_aware_cbf/results/risk_aware_v1_pre_cbf_stonehenge_100_bestD
